,system,area_pv0,area_sp0,area_pv1,area_sp1,area_pv2,area_sp2,area_pv3,area_sp3,area_pv4,area_sp4,area_pv5,area_sp5,area_pv6,area_sp6,area_pv7,area_sp7,area_pv8,area_sp8,area_pv9,area_sp9,area_pv10,area_sp10,area_pv11,area_sp11,area_pv12,area_sp12,area_pv13,area_sp13,area_pv14,area_sp14,area_pv15,area_sp15,area_pv16,area_sp16,area_pv17,area_sp17,area_pv18,area_sp18,area_pv19,area_sp19,area_pv20,area_sp20,area_pv21,area_sp21,area_pv22,area_sp22,area_pv23,area_sp23,area_pv24,area_sp24,area_pv25,area_sp25,area_pv26,area_sp26,area_pv27,area_sp27,area_pv28,area_sp28,area_pv29,area_sp29,area_pv30,area_sp30,area_pv31,area_sp31,area_pv32,area_sp32,area_pv33,area_sp33,area_pv34,area_sp34,area_pv35,area_sp35,area_pv36,area_sp36,area_pv37,area_sp37,area_pv38,area_sp38,area_pv39,area_sp39
0,s15_c0,6.888822444513639,7.193800008011257,6.939241980430743,7.3389562386959915,7.071755225764789,7.49414789504376,5.926964170774362,6.2552813329565256,6.317443311544797,6.646112206540385,6.081869740011725,6.464638173662519,5.9383259193137325,6.25136009039647,6.2344874520393345,6.607965361926222,5.916056680754028,6.214970932223241,5.995666474178571,6.273038050912062,6.526435290694329,6.854142322649698,6.065459149729895,6.407936348254181,5.981396313477507,6.33410142053684,5.971470253771205,6.328142952421976,6.241014599212321,6.564866519266365,5.95904987425119,6.291938991897923,6.170290585338775,6.579252903891713,6.6965158342094036,7.117626258078328,5.77292666385082,6.023606991656931,6.0749966892405105,6.389654825377013,6.212736754304233,6.495646276778952,5.9064101428848,6.211749514319996,6.321309423494629,6.6925702782251415,6.114965873224103,6.4430411745837946,5.9685126148307655,6.2942039222354484,6.2939457301146176,6.609432329651001,6.236695772770873,6.566366302704106,6.106344887391413,6.448840148364353,6.176896713063056,6.492605661539639,6.5107686355498915,6.908869885222844,6.325799244383494,6.680673685814321,6.226656967330298,6.559206649932578,5.901642142922303,6.2216285057031895,5.894270853907159,6.2176460510050795,6.080746785189352,6.427800500067037,5.9651691060206256,6.2533843561054425,5.686562287454401,5.987856969949454,5.737484169554323,6.029740910457357,5.940037392688285,6.248108304780756,5.871592362291233,6.193383725681956
1,s15_c1,5.941954738465089,6.144152491207331,5.8298304238460545,6.06058320937287,5.68143725052978,5.901866995205945,5.755734585529284,5.972310482646409,5.150682836215664,5.2829840379765525,4.967886200915104,5.129870620600298,5.24052311075854,5.367324720142969,5.227094017033529,5.389170050014014,5.23227200809563,5.375313126059037,5.267473512636417,5.414076223011567,5.014789399446686,5.146690468019552,5.080326115424676,5.215177366500243,5.102781578168423,5.255864217075385,4.843205214759909,4.945558460663655,4.992298259898107,5.117404913524506,5.44382140948583,5.629973837048852,4.935215236344046,5.072698587760307,4.921101195811015,5.05684086887104,5.40308401360287,5.581630863673093,5.497830810603275,5.6605409613595326,5.244803637604446,5.369131675073898,5.0775027464394205,5.215671326282091,4.949525671968733,5.076939326083205,5.172664218305499,5.287873484240457,5.20612135972175,5.360469388630864,5.231913902986951,5.388282661813316,4.734385790148744,4.834213182725054,5.128796988585197,5.299568936420003,5.17793426114159,5.286624448726914,5.202215184470069,5.298479001196748,4.687042944356851,4.765233669888773,5.018494269510062,5.14465462634936,5.28290768536094,5.425258375532975,4.755775230952468,4.847135017651955,4.7694923690281295,4.832540685614899,4.933159069660212,4.990684050366516,4.630885345277018,4.677764258082414,4.909054566689409,5.004698910255384,4.935744833812535,5.026578285860884,4.948504493147238,5.029483302475105
2,s15_c2,5.913016263865732,6.155538542064294,5.793587535438003,6.10062986584608,5.948217747036828,6.280936427735157,5.772962595190065,6.0462150355972035,6.0048426751441255,6.341861639015991,5.748966122294745,6.077537134950359,5.838996626347733,6.125427941904893,5.9769761497784195,6.381349265751895,6.120299444607151,6.5082736693282826,6.466770637704082,6.9116048094289075,6.128735116808829,6.528863774022784,6.49130594802597,6.8096806383047,6.452076018919021,6.784717181861833,6.345592368274779,6.638287252071247,6.3174128370976455,6.588090613916005,6.102842449647035,6.486271459345634,6.850086083686622,7.139267072333732,6.816502214759728,7.127579697233361,7.216309820500207,7.54004105426244,6.311991402454089,6.636604850417932,5.5442009733622175,5.763474759891336,5.685162480607865,5.889374370062316,5.3691547800269,5.654475650130649,5.221024512817711,5.401770168093699,5.340359606336533,5.5029408871389025,5.358563879593105,5.567689667106326,5.343173260153868,5.514963661482174,5.354304998051338,5.581438815487752,4.902422144605884,5.049409082706361,4.83947075891629,4.867011633980692,4.780654741164369,4.805973020147982,4.9051884038957825,4.926332598346629,4.801075554364385,4.828809909112481,5.128954019135928,5.238833746474858,4.658234537187805,4.676080769387263,5.092491784240541,5.139740249986663,4.450577493700006,4.458849969758193,5.304644123804669,5.607595861530417,4.55055244799729,4.561843681133966,4.677068099401215,4.695807139632093
3,s15_c3,4.698084252027352,4.77515540108879,5.360257111945648,5.470269124771517,5.294007734611132,5.423531549488875,5.485564605531341,5.5736045015191475,5.714734191553038,5.8558301416082195,5.524597535144959,5.659417926763115,5.224889965506122,5.3945470983623265,5.386004864889974,5.502385260079848,5.378211894078749,5.485602696804246,5.541401640038973,5.671779786844135,5.079703153352179,33.393479088607265,5.347044462227398,5.459884269733987,5.573990550506217,5.718472031457481,5.543275914466847,5.6788674463010285,5.935468520806896,6.117611004252064,5.6722806105236465,5.792906730842472,5.937701077404366,6.073643753649491,5.910610082532521,70.75614185993145,6.37468430935483,6.56091453968909,6.262447863651953,20.880845483072694,6.230732812360461,6.367777646231414,6.451629654690175,18.041424460709123,6.450867459015975,29.82619702767772,6.6394712586531845,6.776287270278809,6.491786232493394,26.553867447378817,6.971592412685125,7.151434752389999,6.840963418289595,6.981110177437834,6.954391625280377,7.10898377099183,6.672601952629484,6.816377430165045,6.84595267755072,6.982889402926003,6.825365472290063,7.038973251975246,6.8341697403791475,7.007283144750679,7.097587148221255,7.32730125414259,7.252602576967803,7.520407384500496,7.137508688463178,7.3135782658809685,7.014746224025703,7.223561503500149,7.037012479667793,7.2864105939841,6.963130420987137,7.190075886516541,6.692910041507694,6.906591709978556,7.06205253599057,7.2821402916128
4,s15_c4,5.350600254174112,5.60124020652336,4.693576111661253,5.048350698072728,4.812189198571869,4.842602185925394,4.689048351929463,4.721423299718201,4.686491566291364,4.717869787956419,4.73010787391241,4.7634148224795885,4.512698449451667,4.545417953794692,4.90435262529591,5.015415394807701,4.43436748467329,4.478285134903013,4.580156689752773,4.6090688501413215,4.500636750924899,4.514762516958301,4.69927894671955,4.722453820165106,4.374751573332778,4.391741458101755,4.168032298792982,4.1780190551344365,4.518377846046136,4.529091902746277,4.354246285932117,4.376085181204286,4.345996607441504,4.362232241996058,3.939038455224876,3.9410440850980226,4.071746246588497,4.0762828473740615,4.155582664760661,4.16477617397541,4.136135396343035,4.14170157987705,3.978219644311664,3.9817767366565047,4.055655044373939,4.058163797012221,4.025169171151679,4.032749899711277,3.72656037902459,3.7305219058410763,3.808202822701184,3.8091154559827736,3.8516832458070613,3.8529839361143896,3.98566992519518,3.99025611834659,3.5856102429190515,3.5877996312761944,3.8770379190607094,3.878635759429043,3.834080485923778,3.8354148286276897,3.7214069226261506,3.72275967679904,3.979865586705704,3.9852958115960875,3.7341203173795776,3.735742783063365,4.062659748815616,4.067806405094611,4.32849224188236,4.337938475917703,3.896740379003111,3.9023769488098883,3.905522097474866,3.9081027091291882,3.803088435397994,3.809309222474102,3.7418265461718807,3.748601908500334
5,s15_c5,5.5629437635373185,5.769995625720503,5.690787020507873,5.9858239085462905,5.3670595279706825,5.583859515646652,5.631208420102293,6.07723003852124,5.841442501977476,6.311571735520752,5.64971612874611,6.066970886595018,5.536949319656351,5.754723276168363,5.349189005491244,5.557472512238698,5.88633446441823,6.186999932544162,6.08019326546465,6.257260770162407,5.701829897518971,5.872477414835315,5.767185706864004,5.929919529503232,5.4367911135408376,5.506119646059819,5.223127630611373,5.369256663061635,5.843636104654027,6.022929339885911,6.916821466718184,7.168928392177484,6.5717776227017,6.927826657443892,5.828424203504557,27.99972802916814,5.881604248486404,27.360201198183564,7.196952186800029,7.74321420801653,6.577824001465267,27.850570737509532,7.600658588235156,59.038868946355244,6.916187487922216,7.293817597247884,6.401685554956682,33.14553266699359,6.3993717180483465,27.29094208139271,7.039741043350347,51.76880639350166,7.416657946879221,17.953778167981433,6.761778367550943,7.108886964378937,6.8692488636678375,7.170882120824944,6.943129721631095,7.334912967284899,6.614909447054142,6.922071872081664,7.360949510118854,7.711100241372898,5.8162816840659,24.310164965352918,6.570400603584353,32.51087700932687,5.89041865471657,29.98450595416858,7.247157369615014,19.07557136160735,7.062242533346229,15.772210207229827,6.341943184151187,6.594745508951423,8.084685995624831,9.003651084595013,7.843969689712237,21.719347412279614
6,s15_c6,5.877416393042746,6.2721120618859585,5.285825626937371,5.530247425394152,5.162095578196584,5.676793109585496,4.428299835554615,5.193890299579586,4.475680956464003,4.705295223188761,4.563691898412569,4.780144884303337,4.445386865486399,4.567340104106798,4.136869853307919,4.153091407644854,4.452272299984944,4.488854806405504,4.461012301990793,4.504158480586176,4.232860205268148,4.267098561630144,4.539579626296298,4.578871405459161,4.295685434202767,4.312267637970649,4.325104178974202,4.346218686445997,4.438703623247169,4.504998819601406,4.389839548790005,4.4289781085760245,4.205238989206318,4.247470634935838,4.018740765632097,4.022366507090355,4.933404280825675,5.05322892809187,4.602827942350748,4.653414514989769,5.138392559575525,5.747347655034798,5.373372650456921,6.136857635307329,5.308277953247522,6.888019303791037,5.90954654237409,8.614375507421439,11.814596984060259,17.853930930879223,14.03845878815721,17.594190545727198,14.988038323211216,16.454598393499325,14.781990252069036,16.947799017043483,15.746711788395428,17.736363231266207,15.668900145838293,17.081841391660017,14.516817958690348,16.51601912279096,14.213686823906318,16.01576728472319,13.73614986180824,15.94659121898011,16.00275157892994,16.76830791516296,16.404899785203824,17.902049577959744,14.749283449208558,16.736322633032966,15.318229756765584,17.324942944533895,16.651864548155213,18.829388311907177,16.23972788177503,18.128404823780706,17.489225334574073,19.49886970015173
7,s15_c7,6.066601396617107,6.2339869011859195,4.8157841697625265,4.862789699166128,5.00938214604883,5.064185017670481,5.386416858836239,5.533049096036468,5.7401755526505145,5.904422291892225,5.863303778831371,6.0428126474886605,5.721144232018312,5.841749926256154,5.594768963349354,5.712491478467172,5.9508869144151895,6.078906022191441,5.2894218744574255,5.36016725154213,5.227838022691972,5.277794562194035,4.6862456736714755,4.759353172590242,5.112533787571888,5.152987714426068,4.654549463342013,4.67219911748264,4.51909022745962,4.5440505859132125,4.752411078864989,4.805822067333669,4.834725243432407,4.873189840032097,4.566463334309068,4.6059282253465765,4.57066221191729,4.602749600051434,4.397321886286544,4.422173943882318,4.568617600498098,4.661175923916323,4.279765806235851,4.323958518910897,4.326234881064874,4.3591957252202755,4.283982499786373,4.327282725747439,4.042474202000736,4.066154291810097,3.706356988322526,3.722081239799857,3.9366970040781877,3.971276246525374,3.795018839285488,3.8122863596271075,3.849218419719049,3.86576535523559,3.5513693939896043,3.560151075483604,3.7915115528713503,3.8172217214876922,4.2053134798790595,4.290586703455984,3.7585092639661557,3.773402321741743,3.54852339664626,3.5598034221697032,4.239706537038942,4.278442402153283,3.8126695193137867,3.820407603815647,3.1697342573428413,18.074961333713087,3.1183519056006856,21.28317191755938,3.465160646064447,3.4675987871400524,3.00590343250364,22.570026605945536
8,s23_c0,9.75122318009174,11.604718377211812,11.254006313421405,12.250501744307348,11.269029730463421,11.626801724207418,11.697223819030627,11.864084604964221,11.49644368188493,11.761089115570428,10.478828079672104,11.565842448112917,11.027537895202649,11.99521833481376,10.683266778980812,11.625102735783775,11.940238485361274,12.733644840741077,13.748440620600899,13.899615007959314,12.87119391313729,13.07495100830784,13.282822818026762,12.946841495195445,12.871065051959006,13.202181472513395,13.682631785652989,13.749781807730072,12.579629808649496,12.95129000004129,14.251972513992532,14.119320585434089,14.749412993080277,14.640973384951826,13.668278362063079,13.568783388138677,14.26397802133598,13.903087345100998,13.028908582606471,13.453507747836023,12.942719617145402,12.937281015089447,14.156309037398291,14.564608438006896,13.873589227782363,14.580584032207364,13.554670563888157,13.880697964350734,13.175211755730391,13.882764474363148,14.339129537284892,14.419949900228092,12.978237196278739,13.48216548019554,13.838547833067057,14.10755599566021,12.51873688319597,12.693736459255378,13.1264741111876,13.448114067922532,13.361233634920334,14.055066417792098,14.496336343219086,14.206499181128247,13.827213595358849,14.128464701550733,13.465153764362833,14.27350869856984,13.090529807798628,13.26133158187746,13.247992146254864,13.935056971342734,13.449604100997817,12.83689821149412,14.178325470355261,14.224122547954899,13.495762202757568,13.71312215190327,13.79547955352662,13.89978099484575
9,s23_c1,12.691121508728502,12.683731299617016,12.167005270138509,12.234289141897987,12.496636851043645,12.421550455032301,12.883326253711129,12.426772898057372,13.232935283758282,12.820343500752397,11.550743230754533,11.51442366189563,9.376866688192303,10.853651313862379,12.267810312892227,12.77200423585139,11.338016490761019,11.79777895799273,13.38428898955033,13.003859147716666,10.043326528734466,10.391025365462204,12.781974327607037,12.920172504666644,10.273037743892093,11.880013068138704,11.639604620541895,12.576044135328903,13.406614734760756,13.242623353768549,12.611680994403297,12.6027966337218,12.448411541983797,12.76775452472174,14.856637520486716,14.604357796502475,13.354698103963319,12.809421432860411,13.361525795012744,13.226109427246138,14.22331125255073,13.89984511876923,14.188689259117387,14.158939103262211,15.57472411535506,14.81535755646063,15.616209200358071,15.561398995278768,14.885656373306993,15.162581216435404,16.276633727176744,17.341551889029887,14.990086611934212,15.944805646968721,15.999178768182944,16.421461767728125,15.62247142315373,16.279974494400573,15.203181818854645,15.553413810694392,14.678606773185875,15.831770869985908,16.951875168222994,16.831036521789617,15.898198132709574,16.01133226909084,15.807258349706292,16.14052026649078,16.155545811705355,16.371498304539656,16.693172744387045,17.21810827243383,16.29547632784292,17.0909247942897,15.631599399417636,16.125335310288467,14.985456285289528,15.194496235576276,15.82116110059318,15.884595701814817
10,s23_c2,11.450739301390376,14.258023979209318,11.546127060790354,13.925857010256857,10.723596435599633,13.437341973557295,13.163677353229325,15.048919013709815,12.144844422692872,13.090784718283636,11.637200191416603,12.18545838843645,11.53834132264109,12.592615086541837,11.45847782312034,12.308783741278862,12.392541260934673,13.645556998401188,11.615513213081913,12.142054064229367,11.841802685956555,12.889893838969774,11.087356629455721,12.27158038594055,10.733653487703705,11.39884692636825,12.22252204873086,13.718604658435783,11.784102426541121,12.431286315576576,13.170148938143814,14.821062427233317,13.019953683047058,14.616090964263266,13.887877742762022,14.754290065767771,12.056059546267784,12.977729149002302,15.524712724905562,15.521157580710005,13.041641823042822,13.207785390647846,15.00721420008838,16.044622330858306,13.795971723303433,14.093036508459983,12.902600692513902,14.439732773367318,12.10298424438515,13.750053378542962,13.532733569442662,13.744827999484063,12.270196481833972,13.999296601270233,12.589148650577672,13.456092901129232,13.944755961010317,15.11869271520666,13.104820167094072,13.809422039428291,11.293148454371062,12.576734694871952,11.276225203589743,12.476978457997381,12.516414391210201,12.5629182966771,14.616620430063586,15.203952856421111,13.2015458318314,13.39356080198123,13.18640316803345,13.182037599768883,12.383601766548544,13.0289371899679,13.841887079666616,13.731424721271242,13.232208606455126,13.37374399979049,16.668871530781995,16.154095143870567
11,s23_c3,14.561888516189414,16.909823686442454,14.837786114195724,16.98823167809181,11.88563589098284,14.903486015011474,13.945465922359272,16.2987787073486,14.486343813888475,16.79972981771541,9.622557000638992,12.07490235586526,10.271922283738823,11.699276859281992,10.371365276237183,13.002984047269042,11.891299098098225,13.831441860029491,9.803822544445177,14.413898779254593,10.356251041623146,16.144909045537997,12.432776931682874,15.823203315994528,11.466954086216246,15.125103506331165,9.543520593686628,12.308872547617131,10.969924430661663,16.047008262237217,11.821840073755775,15.450146294691997,9.081610073073257,15.338548246481945,8.37378508779592,14.018703618096271,11.932790348166462,18.819663274881396,15.440244845737634,19.019401619466663,14.630974008222298,20.536978765974837,15.910324397673607,19.30639205475696,13.135869969039195,17.56087231521756,12.424899733635607,15.29846701901382,14.593030404144958,15.943846728084653,12.921088757010216,14.952806859893874,16.763045582526505,19.188341888791467,18.932999061804225,20.929448532250778,18.482553090396834,19.728933845260578,17.89193964192822,18.483113873398725,18.591637320771504,17.991039009690127,17.601973191962248,17.55643879816681,18.09315006526275,16.986880947854264,17.80380212082859,16.59495914763411,17.075758703524855,16.021531019982845,17.34484634860571,15.850270936631405,17.692974085067313,15.722501292209033,16.307025753434957,14.98769159334234,17.646478570053425,16.79647817676667,16.8179404430249,16.910195412556227
12,s23_c4,12.011131666008946,13.179587897661854,12.401406957918443,14.22847967583598,11.944555895381427,12.237568978647596,10.062734552104214,10.88844641743937,12.808683129341649,14.344161052283791,11.487312803457385,13.916470290122339,10.072839347805859,14.386668265722719,11.711441135663557,13.356595847308672,10.752246735257154,12.783160182307913,9.93598871478409,12.026027582121165,11.424007041377386,12.857500470841211,14.022222889002316,15.624446424350893,14.474657029250457,17.31966431977781,15.65646491949533,17.88177246291911,15.81420175999991,17.68584419775263,17.87856688531252,18.869238689410544,18.074539639421726,19.80057831484312,18.672861153647613,19.483516391557274,19.637307894230588,21.216320400835485,18.277169921829564,20.77480352425645,18.6779226747288,20.35480825370233,19.028049835491746,21.561504616073826,18.111816747413467,21.15982639577984,18.940127396752413,20.81872007837624,18.676956092193855,19.606024612266392,19.892790766045085,20.500839737386496,20.730659052189093,21.043783051163494,17.75978113281868,17.449054912054176,19.25974703959275,17.581373040372434,16.84137730418934,17.242209712383197,20.102731547042325,19.95556016070309,16.761496392480677,17.95233806708174,16.176447334522713,16.473534843840344,19.843687560327112,19.333137425065928,19.82538722830351,19.544700285299463,21.03472984091432,20.41794143199106,19.3783605030114,19.895827199291443,17.95674068101853,18.197998309628975,20.25017297550729,20.15036177387523,18.676018993178857,19.318737711583275
13,s23_c5,12.46601838670609,15.35807445130551,11.013403258737307,13.402850860948728,16.304639712399606,19.726501440026826,19.853661707761095,21.74747842231315,17.29583529694938,17.92545319596249,21.719791378987935,21.757513695002494,20.306168234943296,20.53781383931952,19.97037882464996,21.022498047421,17.9792672212384,18.51348820197693,21.068482946431015,20.929220496879942,22.52817361754844,22.807049175733006,21.317265260190194,23.011564519153062,20.599625640210967,22.7293257338767,20.775679554624112,21.205683951212887,21.773262744946525,22.15952321021345,20.55753728054841,21.769832504136833,21.57215304260842,23.079825736486047,19.817289146675822,21.318332633652677,21.861947364985426,21.23206799965877,21.705557975600303,20.93790813950045,22.823574204614353,22.447863319824208,19.378613482342658,20.37063023517658,20.265081527967478,20.250736819073303,22.028460617856744,20.915740260710763,22.224118342844882,21.21533444969894,22.09919345228755,21.194611766513376,23.54284396852365,23.20933486188302,23.03911175911953,22.09936193461435,21.967769969329485,21.710614933433057,23.522537484479443,22.62273077231836,22.20728966886834,20.16103039214671,23.757079670907615,23.396905125235392,21.784602728752972,22.913197125612356,22.545273061230365,21.632716707346248,22.41217231931486,21.698056879089627,23.618632543090825,22.676573257699825,18.92988161408921,19.615994453474617,19.450877088047584,19.903621602883483,21.37755353301698,22.196634469902992,22.65573865328952,22.730643223707258
14,s23_c6,7.907909925927522,10.674384412180023,8.795138714067264,10.40294498747292,8.943628534855753,11.782497843664757,7.7037947570032195,10.74088293309916,6.837205117393641,9.998028593840797,7.0116939653368995,10.357436604520762,8.60478140851402,10.9203767700646,9.34473877512099,11.38337237678286,7.344737240146827,10.159475562611293,8.944875468333803,10.676247131717043,9.791903629745626,11.24523000468613,9.774837908750776,11.17983087360331,7.728630003126059,9.787116251049081,10.98346320107946,12.729406031081629,9.313653766464808,12.150803846166218,13.358624610807034,14.370440620724155,14.47575471953138,15.043465286114738,20.68683060528209,22.822338487261565,19.384111413297838,20.512689663932363,19.879191422156218,22.07203226416276,17.69172909237508,21.38431199540345,20.667951341246866,23.45660950865322,21.285605233913028,24.047560740985368,25.74758744009952,24.588841602913618,25.2503964040681,25.488197086958994,22.65321318306983,22.719302093354745,24.93430077251255,22.975872310731592,25.518378411237453,23.7576783194227,23.728985598646265,22.731923831841655,24.32905374331228,22.563493216578607,24.866184829826754,22.95206651258393,22.73869248897563,22.12148087238652,22.38914270942868,22.128659388498285,20.719464328130517,21.23172743802906,22.51206377187665,25.174008679504787,23.053862053055223,24.31400042147563,24.419751966280565,23.331586177215687,23.129995030474433,21.945017234413463,23.706648222970493,24.663889092815133,24.30965491806719,23.45579184074363
